"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SOTT1CaseInfo","SOTT1CaseInfo","SOTT1CaseInfo","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit T1  Case Information","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTT1ClinicalGastroIntestinal","SOTT1ClinicalGastroIntestinal.nausea","SOTT1ClinicalGastroIntestinal.nausea","","","",0,1,"","","","code {[]} {[]}
","Nausea/vomiting","Include nausea, vomiting, abdominal pain, loss of appetite, diarrhea, dysentery, increased liver and/or spleen volume, anorexia.","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1ClinicalGastroIntestinal.nausea",0,1,"",""
"SOTT1ClinicalGastroIntestinal","SOTT1ClinicalGastroIntestinal.anorexia","SOTT1ClinicalGastroIntestinal.anorexia","","","",0,1,"","","","code {[]} {[]}
","Loss of appetite","Loss of appetite (anorexia), loss of desire to eat.","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1ClinicalGastroIntestinal.anorexia",0,1,"",""
"SOTT1ClinicalGastroIntestinal","SOTT1ClinicalGastroIntestinal.gastroIntestinalDisorders","SOTT1ClinicalGastroIntestinal.gastroIntestinalDisorders","","","",0,1,"","","","code {[]} {[]}
","Observed gastro intestinal disorders","Is or was the case nauseas or is or was the case vomiting?","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1ClinicalGastroIntestinal.gastroIntestinalDisorders",0,1,"",""
"SOTT1ClinicalGastroIntestinal","SOTT1ClinicalGastroIntestinal.abdominalPain","SOTT1ClinicalGastroIntestinal.abdominalPain","","","",0,1,"","","","code {[]} {[]}
","Stomach or abdominal pain","Painful abdomen (currently or on palpation)","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1ClinicalGastroIntestinal.abdominalPain",0,1,"",""
"SOTT1ClinicalGastroIntestinal","SOTT1ClinicalGastroIntestinal.hiccoughs","SOTT1ClinicalGastroIntestinal.hiccoughs","","","",0,1,"","","","code {[]} {[]}
","Hiccoughs","Hiccoughs, hicups, repeated involuntary spasm/contraction of the diaphragm accompanied by closure of the glottis which may produce the characteristic sound. (Aspecific sign, risk for confusion)","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalGastroIntestinal.hiccoughs",0,1,"",""
"SOTT1ClinicalGastroIntestinal","SOTT1ClinicalGastroIntestinal.tenderAbdomen","SOTT1ClinicalGastroIntestinal.tenderAbdomen","","","",0,1,"","","","code {[]} {[]}
","Tender abdomen","Slightly painful abdomen on palpation","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1ClinicalGastroIntestinal.tenderAbdomen",0,1,"",""
"SOTT1ClinicalGastroIntestinal","SOTT1ClinicalGastroIntestinal.palpableSpleen","SOTT1ClinicalGastroIntestinal.palpableSpleen","","","",0,1,"","","","code {[]} {[]}
","Palpable spleen","Splenomegaly","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1ClinicalGastroIntestinal.palpableSpleen",0,1,"",""
"SOTT1ClinicalGastroIntestinal","SOTT1ClinicalGastroIntestinal.abdominalMass","SOTT1ClinicalGastroIntestinal.abdominalMass","","","",0,1,"","","","code {[]} {[]}
","Abdominal mass","Any abnormal abdominal mass at palpation","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalGastroIntestinal.abdominalMass",0,1,"",""
"SOTT1ClinicalGastroIntestinal","SOTT1ClinicalGastroIntestinal.palpableLiver","SOTT1ClinicalGastroIntestinal.palpableLiver","","","",0,1,"","","","code {[]} {[]}
","Palpable liver","Enlarged liver","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1ClinicalGastroIntestinal.palpableLiver",0,1,"",""
"SOTT1ClinicalGastroIntestinal","SOTT1ClinicalGastroIntestinal.bloodyDiarrhoea","SOTT1ClinicalGastroIntestinal.bloodyDiarrhoea","","","",0,1,"","","","code {[]} {[]}
","Bloody diarrhoea (dysentery):","Bloody diarrhoea (dysentery), any diarrhoeal episode in which the loose or watery stools contain visible red blood.","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalGastroIntestinal.bloodyDiarrhoea",0,1,"",""
"SOTT1ClinicalGastroIntestinal","SOTT1ClinicalGastroIntestinal.diarrhoea","SOTT1ClinicalGastroIntestinal.diarrhoea","","","",0,1,"","","","code {[]} {[]}
","Passing rice water-like stool","Diarrhoea typically colored without containing visible red blood.","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalGastroIntestinal.diarrhoea",0,1,"",""
"SOTT1ClinicalGastroIntestinal","SOTT1ClinicalGastroIntestinal.paleStool","SOTT1ClinicalGastroIntestinal.paleStool","","","",0,1,"","","","code {[]} {[]}
","Pale stools","Stools are not colored as usual","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalGastroIntestinal.paleStool",0,1,"",""
"SOTT1ClinicalGastroIntestinal","SOTT1ClinicalGastroIntestinal.jaundice","SOTT1ClinicalGastroIntestinal.jaundice","","","",0,1,"","","","code {[]} {[]}
","Jaundice","scleral icterus or skin icterus","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1ClinicalGastroIntestinal.jaundice",0,1,"",""
"SOTT1ClinicalUrogynecology","SOTT1Urogynecology","SOTT1Urogynecology","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit T1 Clinical - Urogynecology","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTT1ClinicalUrogynecology","SOTT1Urogynecology.id","SOTT1Urogynecology.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SOTT1ClinicalUrogynecology","SOTT1Urogynecology.extension","SOTT1Urogynecology.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1ClinicalUrogynecology","SOTT1Urogynecology.modifierExtension","SOTT1Urogynecology.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1ClinicalUrogynecology","SOTT1Urogynecology.miscarriage","SOTT1Urogynecology.miscarriage","","","",0,1,"","","","code {[]} {[]}
","Recent spontaneous abortion","Report of any abortion or miscarriage in the recent months","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1Urogynecology.miscarriage",0,1,"",""
"SOTT1ClinicalUrogynecology","SOTT1Urogynecology.urogynecologicalDisorders","SOTT1Urogynecology.urogynecologicalDisorders","","","",0,1,"","","","code {[]} {[]}
","Observed uro-gynecological disorders","Observed uro-gynecological disorders","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1Urogynecology.urogynecologicalDisorders",0,1,"",""
"SOTT1ClinicalUrogynecology","SOTT1Urogynecology.vaginalBleeding","SOTT1Urogynecology.vaginalBleeding","","","",0,1,"","","","code {[]} {[]}
","Vaginal bleeding outside of menstruation period","Vaginal bleeding outside of menstruation period","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1Urogynecology.vaginalBleeding",0,1,"",""
"SOTT1ClinicalUrogynecology","SOTT1Urogynecology.vaginalDischarge","SOTT1Urogynecology.vaginalDischarge","","","",0,1,"","","","code {[]} {[]}
","Vaginal discharge","Vaginal discharge","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1Urogynecology.vaginalDischarge",0,1,"",""
"SOTT1ClinicalUrogynecology","SOTT1Urogynecology.darkUrine","SOTT1Urogynecology.darkUrine","","","",0,1,"","","","code {[]} {[]}
","Dark urines","Urines colored dark","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1Urogynecology.darkUrine",0,1,"",""
"SOTT1ClinicalUrogynecology","SOTT1Urogynecology.urinatingPain","SOTT1Urogynecology.urinatingPain","","","",0,1,"","","","code {[]} {[]}
","Pain when passing urines","Is urinating causing pain","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1Urogynecology.urinatingPain",0,1,"",""
"SOTT1ClinicalUrogynecology","SOTT1Urogynecology.noUrine","SOTT1Urogynecology.noUrine","","","",0,1,"","","","code {[]} {[]}
","Not passing urine in the last 12 hours","In the period of last 12 hours","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1Urogynecology.noUrine",0,1,"",""
"SOTT1ClinicalUrogynecology","SOTT1Urogynecology.otherUrogynecologicalSigns","SOTT1Urogynecology.otherUrogynecologicalSigns","","","",0,1,"","","","string {[]} {[]}
","Any other uro-gynecological signs","Describe any other uro-gynecological signs","","","","","","","","","",,,,,"",,,,"SOTT1Urogynecology.otherUrogynecologicalSigns",0,1,"",""
"SOTT1ExposureChemical","SOTT1ExposureChemical","SOTT1ExposureChemical","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit T1  Exposure - Chemical","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTT1ExposureChemical","SOTT1ExposureChemical.id","SOTT1ExposureChemical.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SOTT1ExposureChemical","SOTT1ExposureChemical.extension","SOTT1ExposureChemical.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1ExposureChemical","SOTT1ExposureChemical.modifierExtension","SOTT1ExposureChemical.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1ExposureChemical","SOTT1ExposureChemical.chemicalExposureSuspected","SOTT1ExposureChemical.chemicalExposureSuspected","","","",0,1,"","","","code {[]} {[]}
","Chemical exposure suspected as the source of the outbreak","Does the patient suspect that chemical exposure may be the source of the outbreak","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ExposureChemical.chemicalExposureSuspected",0,1,"",""
"SOTT1ExposureChemical","SOTT1ExposureChemical.suspectedProduct","SOTT1ExposureChemical.suspectedProduct","","","",0,1,"","","","string {[]} {[]}
","Specify suspected product","If so, specify the chemical product","","","","","","","","","",,,,,"",,,,"SOTT1ExposureChemical.suspectedProduct",0,1,"",""
"SOTT1ExposureChemical","SOTT1ExposureChemical.exposureSource","SOTT1ExposureChemical.exposureSource","","","",0,1,"","","","string {[]} {[]}
","Potential source of exposure","Elaborate on the possible source of the chemical product (factory, farm, etc)","","","","","","","","","",,,,,"",,,,"SOTT1ExposureChemical.exposureSource",0,1,"",""
"SOTT1ExposureChemical","SOTT1ExposureChemical.exposurePlace","SOTT1ExposureChemical.exposurePlace","","","",0,1,"","","","string {[]} {[]}
","Place of chemical exposure","Where is this possible source","","","","","","","","","",,,,,"",,,,"SOTT1ExposureChemical.exposurePlace",0,1,"",""
"SOTT1ExposureChemical","SOTT1ExposureChemical.exposureDuration","SOTT1ExposureChemical.exposureDuration","","","",0,1,"","","","string {[]} {[]}
","Duration of potential exposure","How long (days, years) was the exposure","","","","","","","","","",,,,,"",,,,"SOTT1ExposureChemical.exposureDuration",0,1,"",""
"SOTT1ExposureChemical","SOTT1ExposureChemical.householdMemberDetails","SOTT1ExposureChemical.householdMemberDetails","","","",0,*,"","","","BackboneElement {[]} {[]}
","Details of household members suspect of exposure","Details of household members suspect of exposure","","","","","","","","","",,,,,"",,,,"SOTT1ExposureChemical.householdMemberDetails",0,*,"",""
"SOTT1ExposureChemical","SOTT1ExposureChemical.relationship","SOTT1ExposureChemical.relationship","","","",0,1,"","","","string {[]} {[]}
","Relationship with patient","Relationship with patient","","","","","","","","","",,,,,"",,,,"SOTT1ExposureChemical.relationship",0,1,"",""
"SOTT1ExposureChemical","SOTT1ExposureChemical.occupation","SOTT1ExposureChemical.occupation","","","",0,1,"","","","string {[]} {[]}
","Occupation","Occupation","","","","","","","","","",,,,,"",,,,"SOTT1ExposureChemical.occupation",0,1,"",""
"SOTT1ExposureChemical","SOTT1ExposureChemical.placeOfWork","SOTT1ExposureChemical.placeOfWork","","","",0,1,"","","","string {[]} {[]}
","Place of work","Place of work","","","","","","","","","",,,,,"",,,,"SOTT1ExposureChemical.placeOfWork",0,1,"",""
"SOTT1ExposureChemical","SOTT1ExposureChemical.possibleExposure","SOTT1ExposureChemical.possibleExposure","","","",0,1,"","","","string {[]} {[]}
","Possible chemical exposure","Possible chemical exposure","","","","","","","","","",,,,,"",,,,"SOTT1ExposureChemical.possibleExposure",0,1,"",""
"SOTT1Clinical","SOTT1Clinical","SOTT1Clinical","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit T1 Clinical","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTT1Clinical","SOTT1Clinical.id","SOTT1Clinical.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.extension","SOTT1Clinical.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1Clinical","SOTT1Clinical.modifierExtension","SOTT1Clinical.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1Clinical","SOTT1Clinical.courseOfDisease","SOTT1Clinical.courseOfDisease","","","",1,1,"","","","BackboneElement {[]} {[]}
","Course of Disease ","Course of Disease","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.courseOfDisease",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SOTT1Clinical","SOTT1Clinical.courseOfDisease.id","SOTT1Clinical.courseOfDisease.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.courseOfDisease.extension","SOTT1Clinical.courseOfDisease.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1Clinical","SOTT1Clinical.courseOfDisease.modifierExtension","SOTT1Clinical.courseOfDisease.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1Clinical","SOTT1Clinical.courseOfDisease.symptomOnsetDate","SOTT1Clinical.courseOfDisease.symptomOnsetDate","","","",1,1,"","","","date {[]} {[]}
","date of onset of symptoms*:____/____/______","date of first appearance of the signs or symptoms of the illness/disease.","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.courseOfDisease.symptomOnsetDate",1,1,"",""
"SOTT1Clinical","SOTT1Clinical.courseOfDisease.presentedToHCFDate","SOTT1Clinical.courseOfDisease.presentedToHCFDate","","","",0,1,"","","","date {[]} {[]}
","For this episode, date first presented to health facility:___/___/_____","date the case first presentated to health facility. Caution: review potential duplicate data capturing with Section 1 before inclusion.","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.courseOfDisease.presentedToHCFDate",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.courseOfDisease.admitted","SOTT1Clinical.courseOfDisease.admitted","","","",1,1,"","","","code {[]} {[]}
","Currently admitted in health facility ?:","Was the case hospitalized, admitted to a hospital or other health facility as an inpatient?","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1Clinical.courseOfDisease.admitted",1,1,"",""
"SOTT1Clinical","SOTT1Clinical.courseOfDisease.admittedHCFName","SOTT1Clinical.courseOfDisease.admittedHCFName","","","",0,1,"","","","string {[]} {[]}
","name:","If case admitted, name of the health facility where the case was admitted.","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.courseOfDisease.admittedHCFName",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.courseOfDisease.outcome","SOTT1Clinical.courseOfDisease.outcome","","","",1,1,"","","","code {[]} {[]}
","Outcome of illness* (circle):","Outcome of illness. Where possible, verify status after a suitable period of time [user defined] and update.","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/PatientOutcome","",,,,"SOTT1Clinical.courseOfDisease.outcome",1,1,"",""
"SOTT1Clinical","SOTT1Clinical.courseOfDisease.outcomeEvaluatedDate","SOTT1Clinical.courseOfDisease.outcomeEvaluatedDate","","","",1,1,"","","","date {[]} {[]}
","date outcome was evaluated:___/___/_____","date if the case abandon, recover or died","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.courseOfDisease.outcomeEvaluatedDate",1,1,"",""
"SOTT1Clinical","SOTT1Clinical.courseOfDisease.outcomeDate","SOTT1Clinical.courseOfDisease.outcomeDate","","","",1,1,"","","","date {[]} {[]}
","date* of recovery, default or death:___/___/_____","date if the case abandon, recover or died","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.courseOfDisease.outcomeDate",1,1,"",""
"SOTT1Clinical","SOTT1Clinical.courseOfDisease.sequelae","SOTT1Clinical.courseOfDisease.sequelae","","","",0,1,"","","","code {[]} {[]}
","Sequelae after recovery","Complications of disease. To be defined based on disease. Is there a pathological condition resulting from a previous disease, injury, therapy, or other trauma","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1Clinical.courseOfDisease.sequelae",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.courseOfDisease.specifySequelae","SOTT1Clinical.courseOfDisease.specifySequelae","","","",0,1,"","","","string {[]} {[]}
","Specify sequelae","Describe this pathological condition resulting from a previous disease, injury, therapy, or other trauma","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.courseOfDisease.specifySequelae",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.courseOfDisease.diseaseAdditionalInfo","SOTT1Clinical.courseOfDisease.diseaseAdditionalInfo","","","",0,1,"","","","string {[]} {[]}
","More on course of disease","Additional information about the development of the disease over time","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.courseOfDisease.diseaseAdditionalInfo",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.onSetType","SOTT1Clinical.onSetType","","","",0,1,"","","","code {[]} {[]}
","Onset:","Was the onset of the disease unexpected and sudden?","","","","","","","","","",,,,,"",,,,"SOTT1Clinical.onSetType",0,1,"",""
"SOTT1Clinical","SOTT1Clinical.fever","SOTT1Clinical.fever","","","",0,1,"","","","code {[]} {[]}
","History of fever","Subjective or self-reported fever or history of feeling feverish regardless of measured body temperature.","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1Clinical.fever",0,1,"",""
